ICO	ROK_UZ	stari	zamestnanci	zamereni	ROA	PROA	ROE	2h_vyuz	2h_spok
00507814	2009	1	4	1	0.272793785092457	0.205197425549011	0.286995611064026	2	2
00507814	2010	1	4	1	0.170049619848763	0.197999252768923	0.170436793436174	2	2
00507814	2008	1	4	1	2.78088104043131E-02	0.248049054305917	2.85214989485728E-02	2	2
62412388	2009	2	4	2	0.23483280717843	0.296165696864441	0.308774770510793	3	4
62412388	2008	2	4	2	0.100303597529089	0.139867363173232	0.188547725127845	3	4
62412388	2010	2	4	2	0.227196983498493	0.284182587926974	0.289839908231047	3	4
49618318	2008	2	3	1	8.04828042328042E-02	0.127642195767196	6.65448564136914E-02	2	3
49618318	2009	2	3	1	2.68584268314184E-03	8.09879099567489E-03	2.14283902925588E-03	2	3
49618318	2010	2	3	1	-4.43611440739057E-05	-9.43783340172343E-03	1.74967035196267E-03	2	3
63497271	2009	2	3	1	-3.78931904597304E-02	-1.41913430886815E-02	-0.192067161455165	0	0
63497271	2008	2	3	1	-2.36214581594242E-02	2.98979382904664E-02	-0.215110441767068	0	0
63497271	2010	2	3	1	0.018187609634857	3.09377789940735E-02	8.97339412988623E-02	0	0
27462307	2010	2	3	1	1.59311108090791E-02	5.08028658524746E-02	0.109729651583056	0	0
27462307	2009	2	3	1	-9.57500894420698E-03	2.48178206262828E-02	-0.10070124455114	0	0
27462307	2008	2	3	1	7.81771475960274E-03	-3.34250288233985E-02	7.59824290632791E-03	0	0
43378030	2010	2	1	3	5.30272228697404E-02	4.71965473727326E-02	0.137480650154799	0	0
43378030	2009	2	1	3	4.85157966512615E-02	6.98840821274339E-02	0.163144443068332	0	0
43378030	2008	2	1	3	-1.56155618693931E-02	-1.01216709865673E-02	-5.25766399296781E-02	0	0
47677023	2010	2	4	1	1.14401897128744E-02	1.67742256864835E-02	1.15826104409373E-02	2	3
47677023	2009	2	4	1	-2.22432842479232E-02	-1.70663034477672E-02	-2.48678720107993E-02	2	3
47677023	2008	2	4	1	-4.0471277752968E-03	-8.98030470430063E-03	-5.83955564028147E-03	2	3
48024562	2009	2	4	3	-3.35536253609017E-02	-3.79277437026734E-02	-0.114641261789794	3	0
48024562	2008	2	4	3	-7.14762285389651E-03	1.41545943184546E-02	-3.70576324886835E-02	3	0
48024562	2010	2	4	3	4.52692588447382E-03	-2.23474178896326E-04	8.36137292621116E-03	3	0
26217465	2010	2	2	1	-0.03592534523307	-1.42012904782006E-02	-5.80214750066957E-02	0	0
26217465	2009	2	2	1	0.247138384777185	0.317798268355916	0.353776407235237	0	0
26217465	2008	2	2	1	6.78668765114583E-02	9.17559146801786E-02	0.16133195663397	0	0
27714080	2010	3	3	2	1.23391706891155E-02	3.20175944383124E-02	4.15688440823091E-02	0	0
27714080	2009	3	3	2	4.88059652465263E-02	5.94816542390697E-02	0.195987766693366	0	0
27714080	2008	3	3	2	3.05529680751969E-02	4.37801676687272E-02	5.84888711448248E-02	0	0
00012190	2008	1	4	1	3.24223779957397E-02	0.046642288217241	8.91112110013644E-02	3	4
00012190	2009	1	4	1	2.90565339141422E-02	6.97608955150515E-02	6.19829959324285E-02	3	4
00012190	2010	1	4	1	1.41560726211346E-02	4.93257601720211E-02	2.92961448388968E-02	3	4
25547631	2010	2	4	2	5.22376325556001E-02	0.14142371884978	2.95740588449846E-02	0	0
25547631	2009	2	4	2	7.08042808093986E-02	9.30111392753686E-02	7.73574216488101E-02	0	0
25547631	2008	2	4	2	7.70996066784888E-02	0.112274576458388	8.63640325139009E-02	0	0
25515063	2008	2	2	1	0.125219539279118	0.186871834385233	0.216480529456952	0	0
25515063	2010	2	2	1	3.32941427960667E-02	7.73300555793074E-02	5.32380670982299E-02	0	0
25515063	2009	2	2	1	0.09582545333185	0.142618756257648	0.143917110528129	0	0
61859575	2008	2	4	2	8.48390372521423E-02	0.120388020879728	0.178208019360871	0	0
61859575	2009	2	4	2	0.100984347109597	0.137326881629074	0.22139656684325	0	0
61859575	2010	2	4	2	9.80097283575422E-02	0.129098337692492	0.229437179267281	0	0
25572890	2008	2	4	1	6.13073696331633E-02	8.74394872276925E-02	0.105165243249844	3	3
25572890	2009	2	4	1	6.66983247978141E-02	8.77504949627043E-02	0.10651853759173	3	3
25572890	2010	2	4	1	6.11602033663613E-02	7.90563938812694E-02	9.97397396289976E-02	3	3
47909358	2009	2	3	3	5.71595931944042E-02	-1.47247367807607E-02	6.88268956307449E-02	0	0
47909358	2008	2	3	3	9.52932986688261E-02	4.26884882581085E-02	0.13137507420189	0	0
47909358	2010	2	3	3	5.05037597401122E-02	-6.62781980508417E-03	5.76138026650235E-02	0	0
63079640	2010	2	3	3	5.78567061601383E-02	4.60271113547245E-02	0.073096643543453	3	4
63079640	2009	2	3	3	5.79399621687592E-02	-4.54496871838593E-02	6.46362121729674E-02	3	4
63079640	2008	2	3	3	0.123753852624385	0.191822907425297	0.119106840826073	3	4
27511022	2009	3	3	1	-2.64243876464324E-02	-1.88952577836246E-02	-3.66651528164359E-02	0	0
27511022	2010	3	3	1	9.94482350818048E-04	8.87738685363447E-03	-1.21715697282731E-03	0	0
